episode,timestep,reward
37,2000,25.5465
73,4000,39.4413
107,6000,45.3113
142,8000,48.2276
175,10000,51.688
209,12000,52.2948
243,14000,49.4014
276,16000,54.1603
308,18000,52.7217
341,20000,54.7106
372,22000,59.6311
403,24000,59.8156
434,26000,56.5528
465,28000,57.8255
496,30000,57.2823
523,32000,62.1082
553,34000,58.8469
582,36000,58.42
611,38000,61.6008
641,40000,60.5723
672,42000,62.3033
702,44000,64.8415
731,46000,62.5843
760,48000,65.1577
789,50000,65.1372
818,52000,65.6011
849,54000,63.8031
877,56000,66.5169
907,58000,64.1655
936,60000,69.6211
962,62000,70.067
990,64000,66.0359
1016,66000,68.2071
1043,68000,68.7567
1069,70000,67.5634
1095,72000,68.8429
1121,74000,71.6584
1148,76000,69.1228
1176,78000,68.2054
1205,80000,64.2478
1232,82000,66.5138
1257,84000,70.6074
1283,86000,69.6088
1309,88000,70.475
1334,90000,67.4639
1360,92000,67.4502
1387,94000,68.504
1412,96000,74.084
1436,98000,73.347
1462,100000,70.1887
1488,102000,68.8886
1515,104000,67.8382
1542,106000,71.8292
1569,108000,68.8486
1596,110000,68.7515
1623,112000,69.9435
1649,114000,68.9513
1675,116000,72.199
1702,118000,68.6203
1729,120000,70.6868
1757,122000,68.0802
1784,124000,71.297
1811,126000,69.2672
1837,128000,71.6293
1864,130000,69.4021
1891,132000,71.3886
1916,134000,74.4968
1943,136000,70.2553
1970,138000,67.5923
1998,140000,64.716
2025,142000,70.1251
2052,144000,70.8601
2077,146000,74.0471
2103,148000,71.4785
2129,150000,72.5439
2155,152000,73.3528
2181,154000,73.7362
2208,156000,72.4417
2233,158000,74.4062
2258,160000,74.3639
2286,162000,65.9269
2313,164000,71.2269
2340,166000,71.4169
2365,168000,74.4074
2391,170000,72.5916
2416,172000,71.7978
2442,174000,67.9864
2470,176000,67.3285
2496,178000,68.2885
2523,180000,70.7816
2550,182000,65.7186
2577,184000,70.1803
2603,186000,73.0725
2629,188000,73.7806
2654,190000,71.8433
2680,192000,71.9683
2706,194000,70.4963
2731,196000,73.7901
2756,198000,74.5256
2782,200000,73.3086
2808,202000,71.1101
2834,204000,69.7364
2860,206000,72.7206
2887,208000,71.9855
2914,210000,70.9738
2939,212000,74.9818
2965,214000,73.0067
2990,216000,73.2858
3015,218000,74.0885
3040,220000,74.5405
3065,222000,73.9426
3090,224000,74.5854
3114,226000,74.8482
3140,228000,71.5097
3166,230000,71.9004
3192,232000,72.424
3219,234000,71.8491
3245,236000,73.027
3273,238000,70.2828
3301,240000,67.6971
3329,242000,65.9865
3358,244000,63.5845
3387,246000,65.6985
3414,248000,72.2497
3440,250000,74.807
3467,252000,71.6649
3493,254000,72.0631
3520,256000,72.7837
3545,258000,72.8181
3571,260000,73.3901
3596,262000,75.8565
3621,264000,73.1946
3646,266000,73.7176
3696,270000,74.5113
3723,272000,69.8866
3749,274000,70.0035
3776,276000,70.283
3802,278000,69.6288
3829,280000,68.5499
3856,282000,69.5414
3881,284000,72.0777
3907,286000,72.7733
3933,288000,71.4897
3959,290000,71.8452
3985,292000,73.5858
4011,294000,73.4839
4038,296000,73.8889
4064,298000,76.1248
4090,300000,73.6116
4117,302000,72.4094
4143,304000,72.1679
4171,306000,71.3336
4197,308000,73.0959
4224,310000,72.3694
4252,312000,71.7801
4279,314000,73.603
4306,316000,71.0158
4334,318000,70.4286
4362,320000,71.1448
4391,322000,68.512
4418,324000,69.1779
4444,326000,75.3041
4472,328000,69.4653
4499,330000,70.7762
4526,332000,68.6046
4553,334000,71.5507
4579,336000,70.8106
4606,338000,71.3235
4633,340000,72.0087
4659,342000,72.8934
4684,344000,74.6348
4711,346000,72.2368
4737,348000,71.2082
4763,350000,72.9719
4790,352000,68.8481
4817,354000,73.4776
4842,356000,73.6263
4868,358000,74.1024
4893,360000,74.2823
4919,362000,74.6131
4945,364000,74.0228
4970,366000,75.9852
4996,368000,73.0664
5022,370000,73.8179
5048,372000,73.1241
5073,374000,75.7761
